race_id,race_date,bet_amount,payout,profit,cumulative_profit,drawdown,profit_100yen,cumulative_profit_100yen,logic,variant,source_note
202506291203,2025-06-29,100,0,-100,6200,-800,-100.0,6200.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202506291204,2025-06-29,100,0,-100,6100,-900,-100.0,6100.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202506301204,2025-06-30,100,0,-100,6000,-1000,-100.0,6000.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202507012107,2025-07-01,100,0,-100,5900,-1100,-100.0,5900.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202507022107,2025-07-02,100,0,-100,5800,-1200,-100.0,5800.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202507041207,2025-07-04,100,0,-100,5700,-1300,-100.0,5700.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202507050301,2025-07-05,100,2100,2000,7700,0,2000.0,7700.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202507050303,2025-07-05,100,0,-100,7600,-100,-100.0,7600.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202507051201,2025-07-05,100,0,-100,7500,-200,-100.0,7500.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202507060304,2025-07-06,100,0,-100,7400,-300,-100.0,7400.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202507061201,2025-07-06,100,0,-100,7300,-400,-100.0,7300.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202507080301,2025-07-08,100,0,-100,7200,-500,-100.0,7200.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202507080304,2025-07-08,100,0,-100,7100,-600,-100.0,7100.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202507081202,2025-07-08,100,5060,4960,12060,0,4960.0,12060.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202507090306,2025-07-09,100,0,-100,11960,-100,-100.0,11960.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202507090307,2025-07-09,100,0,-100,11860,-200,-100.0,11860.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202507100301,2025-07-10,100,0,-100,11760,-300,-100.0,11760.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202507100303,2025-07-10,100,0,-100,11660,-400,-100.0,11660.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202507100306,2025-07-10,100,0,-100,11560,-500,-100.0,11560.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202507100307,2025-07-10,100,0,-100,11460,-600,-100.0,11460.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202507100309,2025-07-10,100,0,-100,11360,-700,-100.0,11360.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202507111201,2025-07-11,100,0,-100,11260,-800,-100.0,11260.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202507131204,2025-07-13,100,0,-100,11160,-900,-100.0,11160.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202507141201,2025-07-14,100,0,-100,11060,-1000,-100.0,11060.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202507182107,2025-07-18,100,0,-100,10960,-1100,-100.0,10960.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202507191407,2025-07-19,100,0,-100,10860,-1200,-100.0,10860.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202507200302,2025-07-20,100,0,-100,10760,-1300,-100.0,10760.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202507201405,2025-07-20,100,0,-100,10660,-1400,-100.0,10660.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202507201408,2025-07-20,100,0,-100,10560,-1500,-100.0,10560.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202507221405,2025-07-22,100,0,-100,10460,-1600,-100.0,10460.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202507231405,2025-07-23,100,840,740,11200,-860,740.0,11200.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202507232107,2025-07-23,100,0,-100,11100,-960,-100.0,11100.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202507241406,2025-07-24,100,0,-100,11000,-1060,-100.0,11000.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202507250301,2025-07-25,100,0,-100,10900,-1160,-100.0,10900.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202507281402,2025-07-28,100,0,-100,10800,-1260,-100.0,10800.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202507281405,2025-07-28,100,0,-100,10700,-1360,-100.0,10700.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202507291203,2025-07-29,100,0,-100,10600,-1460,-100.0,10600.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202507291405,2025-07-29,100,0,-100,10500,-1560,-100.0,10500.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202508032107,2025-08-03,100,0,-100,10400,-1660,-100.0,10400.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202508051409,2025-08-05,100,0,-100,10300,-1760,-100.0,10300.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202508091406,2025-08-09,100,0,-100,10200,-1860,-100.0,10200.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202508131402,2025-08-13,100,0,-100,10100,-1960,-100.0,10100.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202508141408,2025-08-14,100,0,-100,10000,-2060,-100.0,10000.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202508161402,2025-08-16,100,0,-100,9900,-2160,-100.0,9900.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202508161403,2025-08-16,100,0,-100,9800,-2260,-100.0,9800.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202508202107,2025-08-20,100,0,-100,9700,-2360,-100.0,9700.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202508210302,2025-08-21,100,0,-100,9600,-2460,-100.0,9600.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202508221201,2025-08-22,100,0,-100,9500,-2560,-100.0,9500.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202508231407,2025-08-23,100,0,-100,9400,-2660,-100.0,9400.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202508241403,2025-08-24,100,0,-100,9300,-2760,-100.0,9300.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202508251402,2025-08-25,100,0,-100,9200,-2860,-100.0,9200.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202509031408,2025-09-03,100,0,-100,9100,-2960,-100.0,9100.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202509041203,2025-09-04,100,0,-100,9000,-3060,-100.0,9000.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202509042108,2025-09-04,100,5670,5570,14570,0,5570.0,14570.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
