exclude_lane,rule,sample,hits,hit_rate_pct,baseline_hit_rate_pct,lift_vs_baseline,roi_pct
2,l2_worst_nat & wave_ge_4,1686,276,16.37,10.88,1.5,67.15
2,l2_exh_gap_ge_002 & wind_3_4,6215,704,11.33,10.88,1.04,66.8
2,l2_exh_gap_ge_002 & wind_ge_4,5882,671,11.41,10.88,1.05,66.15
2,l2_class_le_B1 & wave_ge_4,3662,429,11.71,10.88,1.08,65.8
2,l2_worst_motor & wind_3_4,701,76,10.84,10.88,1.0,65.57
2,l2_worst_st & final_day,339,44,12.98,10.88,1.19,65.5
2,l2_class_eq_B2 & wind_ge_4,280,34,12.14,10.88,1.12,65.42
2,l2_course_back & wind_ge_4,426,37,8.69,10.88,0.8,64.86
2,l2_class_eq_B2 & l2_exh_gap_ge_002,548,84,15.33,10.88,1.41,64.68
2,wind_ge_4 & wave_ge_4,6550,666,10.17,10.88,0.93,64.47
2,l2_worst_motor & l2_exh_gap_ge_002,1213,157,12.94,10.88,1.19,64.28
2,l2_exh_gap_ge_002 & wave_ge_4,4378,481,10.99,10.88,1.01,64.13
2,wave_ge_4 & l1_worst_st,1277,104,8.14,10.88,0.75,63.88
2,l2_worst_motor & l2_st_gap_ge_005,900,116,12.89,10.88,1.18,62.83
2,wind_ge_4 & wind_3_4,3991,432,10.82,10.88,0.99,62.09
2,wind_3_4 & wave_ge_4,2383,239,10.03,10.88,0.92,60.97
2,wind_ge_4 & l1_worst_st,1771,144,8.13,10.88,0.75,59.79
2,l2_worst_motor & l2_slowest_exh,454,63,13.88,10.88,1.28,59.67
2,wind_3_4 & l1_worst_st,1881,150,7.97,10.88,0.73,58.95
2,l2_worst_nat & l2_worst_motor,425,79,18.59,10.88,1.71,58.78
2,l2_class_eq_B2 & wind_3_4,287,39,13.59,10.88,1.25,58.66
2,l2_worst_motor & l2_worst_st,463,57,12.31,10.88,1.13,48.52
2,l2_class_eq_B2 & l2_slowest_exh,202,30,14.85,10.88,1.36,46.82
